Frequency (Hz),Period (uSecs),Max Duty Cycle (Percent),Max Pulse Width (uSecs),PWM Divider,PWM Range
1,"1,000,000.00",21.33%,"213,333.33",4000,4800
4,"218,400.00",100.00%,"218,400.00",4095,1024
5,"200,000.00",100.00%,"200,000.00",3750,1024
6,"166,666.67",100.00%,"166,666.67",3125,1024
7,"142,828.65",100.00%,"142,828.65",4093,670
8,"124,992.29",100.00%,"124,992.29",2429,988
9,"111,092.40",100.00%,"111,092.40",4094,521
10,"100,000.00",100.00%,"100,000.00",1875,1024
10,"100,000.00",100.00%,"100,000.00",1875,1024
11,"90,904.69",100.00%,"90,904.69",1935,902
12,"83,331.88",100.00%,"83,331.88",4092,391
13,"76,919.32",100.00%,"76,919.32",4091,361
14,"71,414.32",100.00%,"71,414.32",4093,335
15,"66,666.67",100.00%,"66,666.67",1250,1024
16,"62,493.33",100.00%,"62,493.33",1376,872
17,"58,822.50",100.00%,"58,822.50",4092,276
18,"55,453.13",100.00%,"55,453.13",4095,260
19,"52,629.01",100.00%,"52,629.01",4091,247
20,"49,953.33",100.00%,"49,953.33",944,1016
21,"47,593.33",100.00%,"47,593.33",944,968
22,"45,430.00",100.00%,"45,430.00",944,924
23,"43,477.50",100.00%,"43,477.50",4092,204
24,"41,644.17",100.00%,"41,644.17",944,847
24,"41,644.17",100.00%,"41,644.17",944,847
25,"40,000.00",100.00%,"40,000.00",750,1024
26,"38,448.33",100.00%,"38,448.33",944,782
27,"37,022.50",100.00%,"37,022.50",944,753
28,"35,695.00",100.00%,"35,695.00",944,726
29,"34,465.83",100.00%,"34,465.83",944,701
30,"33,333.33",100.00%,"33,333.33",625,1024
31,"32,253.33",100.00%,"32,253.33",944,656
32,"31,220.83",100.00%,"31,220.83",944,635
33,"30,286.67",100.00%,"30,286.67",944,616
34,"29,411.25",100.00%,"29,411.25",4092,138
35,"28,565.83",100.00%,"28,565.83",944,581
36,"27,759.38",100.00%,"27,759.38",945,564
37,"26,880.00",100.00%,"26,880.00",504,1024
38,"26,293.33",100.00%,"26,293.33",493,1024
39,"25,621.56",100.00%,"25,621.56",489,1006
40,"24,984.84",100.00%,"24,984.84",489,981
41,"24,320.00",100.00%,"24,320.00",456,1024
42,"23,786.67",100.00%,"23,786.67",446,1024
43,"23,253.33",100.00%,"23,253.33",436,1024
44,"22,720.00",100.00%,"22,720.00",426,1024
45,"22,181.25",100.00%,"22,181.25",4095,104
46,"21,738.75",100.00%,"21,738.75",4092,102
47,"21,226.67",100.00%,"21,226.67",398,1024
48,"20,800.00",100.00%,"20,800.00",390,1024
49,"20,373.33",100.00%,"20,373.33",382,1024
50,"20,000.00",100.00%,"20,000.00",375,1024
50,"20,000.00",100.00%,"20,000.00",375,1024
51,"19,607.50",100.00%,"19,607.50",4092,92
52,"19,200.00",100.00%,"19,200.00",360,1024
53,"18,826.67",100.00%,"18,826.67",353,1024
54,"18,506.67",100.00%,"18,506.67",347,1024
55,"18,166.41",100.00%,"18,166.41",345,1011
56,"17,842.97",100.00%,"17,842.97",345,993
57,"17,493.33",100.00%,"17,493.33",328,1024
58,"17,226.67",100.00%,"17,226.67",323,1024
59,"16,906.67",100.00%,"16,906.67",317,1024
60,"16,640.00",100.00%,"16,640.00",312,1024
60,"16,640.00",100.00%,"16,640.00",312,1024
61,"16,373.33",100.00%,"16,373.33",307,1024
62,"16,106.67",100.00%,"16,106.67",302,1024
63,"15,840.00",100.00%,"15,840.00",297,1024
64,"15,623.44",100.00%,"15,623.44",297,1010
65,"15,375.94",100.00%,"15,375.94",297,994
66,"15,143.91",100.00%,"15,143.91",297,979
67,"14,922.40",100.00%,"14,922.40",4093,70
68,"14,705.63",100.00%,"14,705.63",4092,69
69,"14,492.50",100.00%,"14,492.50",4092,68
70,"14,282.86",100.00%,"14,282.86",4093,67
71,"14,080.00",100.00%,"14,080.00",264,1024
72,"13,866.67",100.00%,"13,866.67",260,1024
73,"13,653.33",100.00%,"13,653.33",256,1024
74,"13,493.33",100.00%,"13,493.33",253,1024
75,"13,333.33",100.00%,"13,333.33",250,1024
76,"13,120.00",100.00%,"13,120.00",246,1024
77,"12,960.00",100.00%,"12,960.00",243,1024
78,"12,800.00",100.00%,"12,800.00",240,1024
79,"12,640.00",100.00%,"12,640.00",237,1024
80,"12,480.00",100.00%,"12,480.00",234,1024
81,"12,341.72",100.00%,"12,341.72",233,1017
82,"12,183.96",100.00%,"12,183.96",233,1004
83,"12,038.33",100.00%,"12,038.33",233,992
84,"11,892.71",100.00%,"11,892.71",233,980
85,"11,759.22",100.00%,"11,759.22",233,969
86,"11,520.00",100.00%,"11,520.00",216,1024
87,"11,466.67",100.00%,"11,466.67",215,1024
88,"11,360.00",100.00%,"11,360.00",213,1024
89,"11,200.00",100.00%,"11,200.00",210,1024
90,"11,093.33",100.00%,"11,093.33",208,1024
91,"10,986.67",100.00%,"10,986.67",206,1024
92,"10,869.38",100.00%,"10,869.38",4092,51
93,"10,720.00",100.00%,"10,720.00",201,1024
94,"10,613.33",100.00%,"10,613.33",199,1024
95,"10,506.67",100.00%,"10,506.67",197,1024
96,"10,400.00",100.00%,"10,400.00",195,1024
97,"10,293.33",100.00%,"10,293.33",193,1024
98,"10,186.67",100.00%,"10,186.67",191,1024
99,"10,080.00",100.00%,"10,080.00",189,1024
100,"9,973.33",100.00%,"9,973.33",187,1024
101,"9,866.67",100.00%,"9,866.67",185,1024
102,"9,803.75",100.00%,"9,803.75",4092,46
103,"9,702.86",100.00%,"9,702.86",185,1007
104,"9,606.51",100.00%,"9,606.51",185,997
105,"9,519.79",100.00%,"9,519.79",185,988
106,"9,433.07",100.00%,"9,433.07",185,979
107,"9,336.72",100.00%,"9,336.72",185,969
108,"9,250.00",100.00%,"9,250.00",185,960
109,"9,172.92",100.00%,"9,172.92",185,952
110,"9,086.20",100.00%,"9,086.20",185,943
111,"8,999.48",100.00%,"8,999.48",185,934
112,"8,922.40",100.00%,"8,922.40",185,926
113,"8,845.31",100.00%,"8,845.31",185,918
114,"8,768.23",100.00%,"8,768.23",185,910
115,"8,691.15",100.00%,"8,691.15",185,902
116,"8,614.06",100.00%,"8,614.06",185,894
117,"8,546.61",100.00%,"8,546.61",185,887
118,"8,469.53",100.00%,"8,469.53",185,879
119,"8,402.08",100.00%,"8,402.08",185,872
120,"8,325.00",100.00%,"8,325.00",185,864
121,"8,257.55",100.00%,"8,257.55",185,857
122,"8,190.10",100.00%,"8,190.10",185,850
123,"8,122.66",100.00%,"8,122.66",185,843
124,"8,055.21",100.00%,"8,055.21",185,836
125,"8,000.00",100.00%,"8,000.00",150,1024
126,"7,929.95",100.00%,"7,929.95",185,823
127,"7,872.14",100.00%,"7,872.14",185,817
128,"7,804.69",100.00%,"7,804.69",185,810
129,"7,746.88",100.00%,"7,746.88",185,804
130,"7,689.06",100.00%,"7,689.06",185,798
131,"7,631.25",100.00%,"7,631.25",185,792
132,"7,573.44",100.00%,"7,573.44",185,786
133,"7,515.63",100.00%,"7,515.63",185,780
134,"7,461.20",100.00%,"7,461.20",4093,35
135,"7,400.00",100.00%,"7,400.00",185,768
136,"7,351.82",100.00%,"7,351.82",185,763
137,"7,253.33",100.00%,"7,253.33",136,1024
138,"7,246.25",100.00%,"7,246.25",4092,34
139,"7,146.67",100.00%,"7,146.67",134,1024
140,"7,093.33",100.00%,"7,093.33",133,1024
141,"7,086.41",100.00%,"7,086.41",133,1023
142,"7,040.00",100.00%,"7,040.00",132,1024
143,"6,986.67",100.00%,"6,986.67",131,1024
144,"6,933.33",100.00%,"6,933.33",130,1024
145,"6,880.00",100.00%,"6,880.00",129,1024
146,"6,826.67",100.00%,"6,826.67",128,1024
147,"6,773.33",100.00%,"6,773.33",127,1024
148,"6,720.00",100.00%,"6,720.00",126,1024
149,"6,706.88",100.00%,"6,706.88",126,1022
150,"6,666.67",100.00%,"6,666.67",125,1024
151,"6,613.33",100.00%,"6,613.33",124,1024
152,"6,560.00",100.00%,"6,560.00",123,1024
153,"6,506.67",100.00%,"6,506.67",122,1024
154,"6,453.33",100.00%,"6,453.33",121,1024
155,"6,447.03",100.00%,"6,447.03",121,1023
156,"6,400.00",100.00%,"6,400.00",120,1024
157,"6,346.67",100.00%,"6,346.67",119,1024
158,"6,293.33",100.00%,"6,293.33",118,1024
159,"6,287.19",100.00%,"6,287.19",118,1023
160,"6,240.00",100.00%,"6,240.00",117,1024
161,"6,186.67",100.00%,"6,186.67",116,1024
162,"6,168.54",100.00%,"6,168.54",116,1021
163,"6,133.33",100.00%,"6,133.33",115,1024
164,"6,080.00",100.00%,"6,080.00",114,1024
165,"6,026.67",100.00%,"6,026.67",113,1024
166,"6,020.78",100.00%,"6,020.78",113,1023
167,"5,973.33",100.00%,"5,973.33",112,1024
168,"5,920.00",100.00%,"5,920.00",111,1024
169,"5,914.22",100.00%,"5,914.22",111,1023
170,"5,866.67",100.00%,"5,866.67",110,1024
171,"5,843.75",100.00%,"5,843.75",110,1020
172,"5,813.33",100.00%,"5,813.33",109,1024
173,"5,760.00",100.00%,"5,760.00",108,1024
174,"5,743.13",100.00%,"5,743.13",108,1021
175,"5,706.67",100.00%,"5,706.67",107,1024
176,"5,653.33",100.00%,"5,653.33",106,1024
177,"5,647.81",100.00%,"5,647.81",106,1023
178,"5,600.00",100.00%,"5,600.00",105,1024
179,"5,583.59",100.00%,"5,583.59",105,1021
180,"5,550.78",100.00%,"5,550.78",105,1015
181,"5,523.44",100.00%,"5,523.44",105,1010
182,"5,490.63",100.00%,"5,490.63",105,1004
183,"5,463.28",100.00%,"5,463.28",105,999
184,"5,434.69",100.00%,"5,434.69",102,1023
185,"5,403.13",100.00%,"5,403.13",105,988
186,"5,375.78",100.00%,"5,375.78",105,983
187,"5,342.97",100.00%,"5,342.97",105,977
188,"5,315.63",100.00%,"5,315.63",105,972
189,"5,288.28",100.00%,"5,288.28",105,967
190,"5,260.94",100.00%,"5,260.94",105,962
191,"5,233.59",100.00%,"5,233.59",105,957
192,"5,206.25",100.00%,"5,206.25",105,952
193,"5,178.91",100.00%,"5,178.91",105,947
194,"5,151.56",100.00%,"5,151.56",105,942
195,"5,124.22",100.00%,"5,124.22",105,937
196,"5,096.88",100.00%,"5,096.88",105,932
197,"5,075.00",100.00%,"5,075.00",105,928
198,"5,047.66",100.00%,"5,047.66",105,923
199,"5,020.31",100.00%,"5,020.31",105,918
200,"4,998.44",100.00%,"4,998.44",105,914
201,"4,971.09",100.00%,"4,971.09",105,909
202,"4,949.22",100.00%,"4,949.22",105,905
203,"4,921.88",100.00%,"4,921.88",105,900
204,"4,901.88",100.00%,"4,901.88",4092,23
205,"4,877.92",100.00%,"4,877.92",92,1018
206,"4,850.78",100.00%,"4,850.78",105,887
207,"4,828.91",100.00%,"4,828.91",105,883
208,"4,807.03",100.00%,"4,807.03",105,879
209,"4,779.69",100.00%,"4,779.69",105,874
210,"4,757.81",100.00%,"4,757.81",105,870
211,"4,735.94",100.00%,"4,735.94",105,866
212,"4,714.06",100.00%,"4,714.06",105,862
213,"4,693.33",100.00%,"4,693.33",88,1024
214,"4,670.42",100.00%,"4,670.42",88,1019
215,"4,640.00",100.00%,"4,640.00",87,1024
216,"4,626.41",100.00%,"4,626.41",87,1021
217,"4,608.28",100.00%,"4,608.28",87,1017
218,"4,586.67",100.00%,"4,586.67",86,1024
219,"4,564.27",100.00%,"4,564.27",86,1019
220,"4,533.33",100.00%,"4,533.33",85,1024
221,"4,524.48",100.00%,"4,524.48",85,1022
222,"4,502.34",100.00%,"4,502.34",85,1017
223,"4,480.00",100.00%,"4,480.00",84,1024
224,"4,462.50",100.00%,"4,462.50",84,1020
225,"4,426.67",100.00%,"4,426.67",83,1024
226,"4,422.34",100.00%,"4,422.34",83,1023
227,"4,405.05",100.00%,"4,405.05",83,1019
228,"4,373.33",100.00%,"4,373.33",82,1024
229,"4,364.79",100.00%,"4,364.79",82,1022
230,"4,347.71",100.00%,"4,347.71",82,1018
231,"4,320.00",100.00%,"4,320.00",81,1024
232,"4,307.34",100.00%,"4,307.34",81,1021
233,"4,290.47",100.00%,"4,290.47",81,1017
234,"4,266.67",100.00%,"4,266.67",80,1024
235,"4,254.17",100.00%,"4,254.17",80,1021
236,"4,233.33",100.00%,"4,233.33",80,1016
237,"4,213.33",100.00%,"4,213.33",79,1024
238,"4,200.99",100.00%,"4,200.99",79,1021
239,"4,180.42",100.00%,"4,180.42",79,1016
240,"4,160.00",100.00%,"4,160.00",78,1024
241,"4,147.81",100.00%,"4,147.81",78,1021
242,"4,131.56",100.00%,"4,131.56",78,1017
243,"4,106.67",100.00%,"4,106.67",77,1024
244,"4,094.64",100.00%,"4,094.64",77,1021
245,"4,078.59",100.00%,"4,078.59",77,1017
246,"4,053.33",100.00%,"4,053.33",76,1024
247,"4,048.39",100.00%,"4,048.39",4091,19
248,"4,029.58",100.00%,"4,029.58",76,1018
249,"4,013.75",100.00%,"4,013.75",76,1014
250,"4,000.00",100.00%,"4,000.00",75,1024
251,"3,980.47",100.00%,"3,980.47",75,1019
252,"3,964.84",100.00%,"3,964.84",75,1015
253,"3,946.67",100.00%,"3,946.67",74,1024
254,"3,935.10",100.00%,"3,935.10",74,1021
255,"3,919.69",100.00%,"3,919.69",74,1017
256,"3,893.33",100.00%,"3,893.33",73,1024
257,"3,889.53",100.00%,"3,889.53",73,1023
258,"3,874.32",100.00%,"3,874.32",73,1019
259,"3,859.11",100.00%,"3,859.11",73,1015
260,"3,843.91",100.00%,"3,843.91",73,1011
261,"3,828.70",100.00%,"3,828.70",73,1007
262,"3,813.49",100.00%,"3,813.49",73,1003
263,"3,802.08",100.00%,"3,802.08",73,1000
264,"3,786.88",100.00%,"3,786.88",73,996
265,"3,771.67",100.00%,"3,771.67",73,992
266,"3,756.46",100.00%,"3,756.46",73,988
267,"3,745.05",100.00%,"3,745.05",73,985
268,"3,729.84",100.00%,"3,729.84",73,981
269,"3,714.64",100.00%,"3,714.64",73,977
270,"3,703.23",100.00%,"3,703.23",73,974
271,"3,688.02",100.00%,"3,688.02",73,970
272,"3,672.81",100.00%,"3,672.81",73,966
273,"3,661.41",100.00%,"3,661.41",73,963
274,"3,646.20",100.00%,"3,646.20",73,959
275,"3,634.79",100.00%,"3,634.79",73,956
276,"3,623.13",100.00%,"3,623.13",68,1023
277,"3,608.18",100.00%,"3,608.18",73,949
278,"3,596.77",100.00%,"3,596.77",73,946
279,"3,581.56",100.00%,"3,581.56",73,942
280,"3,570.16",100.00%,"3,570.16",73,939
281,"3,554.95",100.00%,"3,554.95",73,935
282,"3,543.54",100.00%,"3,543.54",73,932
283,"3,532.14",100.00%,"3,532.14",73,929
284,"3,520.73",100.00%,"3,520.73",73,926
285,"3,505.52",100.00%,"3,505.52",73,922
286,"3,494.11",100.00%,"3,494.11",73,919
287,"3,482.71",100.00%,"3,482.71",73,916
288,"3,471.30",100.00%,"3,471.30",73,913
289,"3,459.90",100.00%,"3,459.90",73,910
290,"3,444.69",100.00%,"3,444.69",73,906
291,"3,433.28",100.00%,"3,433.28",73,903
292,"3,421.88",100.00%,"3,421.88",73,900
293,"3,412.50",100.00%,"3,412.50",4095,16
294,"3,399.06",100.00%,"3,399.06",73,894
295,"3,387.66",100.00%,"3,387.66",73,891
296,"3,376.25",100.00%,"3,376.25",73,888
297,"3,364.84",100.00%,"3,364.84",73,885
298,"3,353.44",100.00%,"3,353.44",73,882
299,"3,342.03",100.00%,"3,342.03",73,879
300,"3,330.63",100.00%,"3,330.63",73,876
301,"3,319.22",100.00%,"3,319.22",73,873
302,"3,307.81",100.00%,"3,307.81",73,870
303,"3,300.21",100.00%,"3,300.21",73,868
304,"3,288.80",100.00%,"3,288.80",73,865
305,"3,277.40",100.00%,"3,277.40",73,862
306,"3,265.99",100.00%,"3,265.99",73,859
307,"3,254.58",100.00%,"3,254.58",73,856
308,"3,243.18",100.00%,"3,243.18",73,853
309,"3,235.57",100.00%,"3,235.57",73,851
310,"3,224.17",100.00%,"3,224.17",73,848
311,"3,215.21",100.00%,"3,215.21",61,1012
312,"3,201.35",100.00%,"3,201.35",73,842
313,"3,193.75",100.00%,"3,193.75",73,840
314,"3,182.34",100.00%,"3,182.34",73,837
315,"3,170.94",100.00%,"3,170.94",73,834
316,"3,163.33",100.00%,"3,163.33",73,832
317,"3,151.93",100.00%,"3,151.93",73,829
318,"3,144.32",100.00%,"3,144.32",73,827
319,"3,132.92",100.00%,"3,132.92",73,824
320,"3,121.51",100.00%,"3,121.51",73,821
321,"3,113.91",100.00%,"3,113.91",73,819
322,"3,102.50",100.00%,"3,102.50",73,816
323,"3,094.90",100.00%,"3,094.90",73,814
324,"3,083.49",100.00%,"3,083.49",73,811
325,"3,075.89",100.00%,"3,075.89",73,809
326,"3,064.48",100.00%,"3,064.48",73,806
327,"3,056.88",100.00%,"3,056.88",73,804
328,"3,045.47",100.00%,"3,045.47",73,801
329,"3,037.86",100.00%,"3,037.86",73,799
330,"3,030.26",100.00%,"3,030.26",73,797
331,"3,018.85",100.00%,"3,018.85",73,794
332,"3,011.25",100.00%,"3,011.25",73,792
333,"2,999.84",100.00%,"2,999.84",73,789
334,"2,986.67",100.00%,"2,986.67",56,1024
335,"2,984.48",100.00%,"2,984.48",4093,14
336,"2,975.00",100.00%,"2,975.00",56,1020
337,"2,966.25",100.00%,"2,966.25",56,1017
338,"2,957.50",100.00%,"2,957.50",56,1014
339,"2,948.75",100.00%,"2,948.75",56,1011
340,"2,933.33",100.00%,"2,933.33",55,1024
341,"2,930.47",100.00%,"2,930.47",55,1023
342,"2,921.88",100.00%,"2,921.88",55,1020
343,"2,913.28",100.00%,"2,913.28",55,1017
344,"2,904.69",100.00%,"2,904.69",55,1014
345,"2,896.09",100.00%,"2,896.09",55,1011
346,"2,887.50",100.00%,"2,887.50",55,1008
347,"2,880.00",100.00%,"2,880.00",54,1024
348,"2,871.56",100.00%,"2,871.56",54,1021
349,"2,863.13",100.00%,"2,863.13",54,1018
350,"2,854.69",100.00%,"2,854.69",54,1015
351,"2,846.25",100.00%,"2,846.25",54,1012
352,"2,840.63",100.00%,"2,840.63",54,1010
353,"2,826.67",100.00%,"2,826.67",53,1024
354,"2,823.91",100.00%,"2,823.91",53,1023
355,"2,815.63",100.00%,"2,815.63",53,1020
356,"2,807.34",100.00%,"2,807.34",53,1017
357,"2,799.06",100.00%,"2,799.06",53,1014
358,"2,790.78",100.00%,"2,790.78",53,1011
359,"2,785.26",100.00%,"2,785.26",53,1009
360,"2,773.33",100.00%,"2,773.33",52,1024
361,"2,769.95",100.00%,"2,769.95",4091,13
362,"2,759.79",100.00%,"2,759.79",52,1019
363,"2,754.38",100.00%,"2,754.38",52,1017
364,"2,746.25",100.00%,"2,746.25",52,1014
365,"2,738.13",100.00%,"2,738.13",52,1011
366,"2,730.00",100.00%,"2,730.00",52,1008
367,"2,720.00",100.00%,"2,720.00",51,1024
368,"2,717.34",100.00%,"2,717.34",51,1023
369,"2,709.38",100.00%,"2,709.38",51,1020
370,"2,701.41",100.00%,"2,701.41",51,1017
371,"2,693.44",100.00%,"2,693.44",51,1014
372,"2,688.13",100.00%,"2,688.13",51,1012
373,"2,680.16",100.00%,"2,680.16",51,1009
374,"2,672.19",100.00%,"2,672.19",51,1006
375,"2,666.67",100.00%,"2,666.67",50,1024
376,"2,658.85",100.00%,"2,658.85",50,1021
377,"2,651.04",100.00%,"2,651.04",50,1018
378,"2,643.23",100.00%,"2,643.23",50,1015
379,"2,638.02",100.00%,"2,638.02",50,1013
380,"2,630.21",100.00%,"2,630.21",50,1010
381,"2,622.40",100.00%,"2,622.40",50,1007
382,"2,613.33",100.00%,"2,613.33",49,1024
383,"2,610.78",100.00%,"2,610.78",49,1023
384,"2,603.13",100.00%,"2,603.13",49,1020
385,"2,595.47",100.00%,"2,595.47",49,1017
386,"2,590.36",100.00%,"2,590.36",49,1015
387,"2,582.71",100.00%,"2,582.71",49,1012
388,"2,575.05",100.00%,"2,575.05",49,1009
389,"2,569.95",100.00%,"2,569.95",49,1007
390,"2,560.00",100.00%,"2,560.00",48,1024
391,"2,557.50",100.00%,"2,557.50",48,1023
392,"2,550.00",100.00%,"2,550.00",48,1020
393,"2,542.50",100.00%,"2,542.50",48,1017
394,"2,537.50",100.00%,"2,537.50",48,1015
395,"2,530.00",100.00%,"2,530.00",48,1012
396,"2,525.00",100.00%,"2,525.00",48,1010
397,"2,517.50",100.00%,"2,517.50",48,1007
398,"2,506.67",100.00%,"2,506.67",47,1024
399,"2,504.22",100.00%,"2,504.22",47,1023
400,"2,499.32",100.00%,"2,499.32",47,1021
401,"2,491.98",100.00%,"2,491.98",47,1018
402,"2,487.08",100.00%,"2,487.08",47,1016
403,"2,479.74",100.00%,"2,479.74",47,1013
404,"2,474.84",100.00%,"2,474.84",47,1011
405,"2,467.50",100.00%,"2,467.50",47,1008
406,"2,462.60",100.00%,"2,462.60",47,1006
407,"2,453.33",100.00%,"2,453.33",46,1024
408,"2,450.94",100.00%,"2,450.94",46,1023
409,"2,443.75",100.00%,"2,443.75",46,1020
410,"2,438.96",100.00%,"2,438.96",46,1018
411,"2,431.77",100.00%,"2,431.77",46,1015
412,"2,426.98",100.00%,"2,426.98",46,1013
413,"2,419.79",100.00%,"2,419.79",46,1010
414,"2,415.00",100.00%,"2,415.00",46,1008
415,"2,407.81",100.00%,"2,407.81",46,1005
416,"2,400.00",100.00%,"2,400.00",45,1024
417,"2,397.66",100.00%,"2,397.66",45,1023
418,"2,390.63",100.00%,"2,390.63",45,1020
419,"2,385.94",100.00%,"2,385.94",45,1018
420,"2,378.91",100.00%,"2,378.91",45,1015
421,"2,374.22",100.00%,"2,374.22",45,1013
422,"2,369.53",100.00%,"2,369.53",45,1011
423,"2,362.50",100.00%,"2,362.50",45,1008
424,"2,357.81",100.00%,"2,357.81",45,1006
425,"2,350.78",100.00%,"2,350.78",45,1003
426,"2,346.67",100.00%,"2,346.67",44,1024
427,"2,339.79",100.00%,"2,339.79",44,1021
428,"2,335.21",100.00%,"2,335.21",44,1019
429,"2,330.63",100.00%,"2,330.63",44,1017
430,"2,323.75",100.00%,"2,323.75",44,1014
431,"2,319.17",100.00%,"2,319.17",44,1012
432,"2,314.58",100.00%,"2,314.58",44,1010
433,"2,307.71",100.00%,"2,307.71",44,1007
434,"2,303.13",100.00%,"2,303.13",44,1005
435,"2,298.54",100.00%,"2,298.54",44,1003
436,"2,293.33",100.00%,"2,293.33",43,1024
437,"2,286.61",100.00%,"2,286.61",43,1021
438,"2,282.14",100.00%,"2,282.14",43,1019
439,"2,277.66",100.00%,"2,277.66",43,1017
440,"2,270.94",100.00%,"2,270.94",43,1014
441,"2,266.46",100.00%,"2,266.46",43,1012
442,"2,261.98",100.00%,"2,261.98",43,1010
443,"2,255.26",100.00%,"2,255.26",43,1007
444,"2,250.78",100.00%,"2,250.78",43,1005
445,"2,246.30",100.00%,"2,246.30",43,1003
446,"2,240.00",100.00%,"2,240.00",42,1024
447,"2,235.63",100.00%,"2,235.63",42,1022
448,"2,231.25",100.00%,"2,231.25",42,1020
449,"2,226.88",100.00%,"2,226.88",42,1018
450,"2,220.31",100.00%,"2,220.31",42,1015
451,"2,215.94",100.00%,"2,215.94",42,1013
452,"2,211.56",100.00%,"2,211.56",42,1011
453,"2,207.19",100.00%,"2,207.19",42,1009
454,"2,200.63",100.00%,"2,200.63",42,1006
455,"2,196.25",100.00%,"2,196.25",42,1004
456,"2,191.88",100.00%,"2,191.88",42,1002
457,"2,186.67",100.00%,"2,186.67",41,1024
458,"2,182.40",100.00%,"2,182.40",41,1022
459,"2,178.13",100.00%,"2,178.13",41,1020
460,"2,173.85",100.00%,"2,173.85",41,1018
461,"2,167.45",100.00%,"2,167.45",41,1015
462,"2,163.18",100.00%,"2,163.18",41,1013
463,"2,158.91",100.00%,"2,158.91",41,1011
464,"2,154.64",100.00%,"2,154.64",41,1009
465,"2,150.36",100.00%,"2,150.36",41,1007
466,"2,143.96",100.00%,"2,143.96",41,1004
467,"2,139.69",100.00%,"2,139.69",41,1002
468,"2,133.33",100.00%,"2,133.33",40,1024
469,"2,131.77",100.00%,"2,131.77",4093,10
470,"2,127.08",100.00%,"2,127.08",40,1021
471,"2,122.92",100.00%,"2,122.92",40,1019
472,"2,116.67",100.00%,"2,116.67",40,1016
473,"2,112.50",100.00%,"2,112.50",40,1014
474,"2,108.33",100.00%,"2,108.33",40,1012
475,"2,104.17",100.00%,"2,104.17",40,1010
476,"2,100.00",100.00%,"2,100.00",40,1008
477,"2,095.83",100.00%,"2,095.83",40,1006
478,"2,091.67",100.00%,"2,091.67",40,1004
479,"2,087.50",100.00%,"2,087.50",40,1002
480,"2,080.00",100.00%,"2,080.00",39,1024
481,"2,077.97",100.00%,"2,077.97",39,1023
482,"2,073.91",100.00%,"2,073.91",39,1021
483,"2,069.84",100.00%,"2,069.84",39,1019
484,"2,065.78",100.00%,"2,065.78",39,1017
485,"2,061.72",100.00%,"2,061.72",39,1015
486,"2,055.63",100.00%,"2,055.63",39,1012
487,"2,051.56",100.00%,"2,051.56",39,1010
488,"2,047.50",100.00%,"2,047.50",39,1008
489,"2,043.44",100.00%,"2,043.44",39,1006
490,"2,039.38",100.00%,"2,039.38",39,1004
491,"2,035.31",100.00%,"2,035.31",39,1002
492,"2,031.25",100.00%,"2,031.25",39,1000
493,"2,026.67",100.00%,"2,026.67",38,1024
494,"2,022.71",100.00%,"2,022.71",38,1022
495,"2,018.75",100.00%,"2,018.75",38,1020
496,"2,014.79",100.00%,"2,014.79",38,1018
497,"2,010.83",100.00%,"2,010.83",38,1016
498,"2,006.88",100.00%,"2,006.88",38,1014
499,"2,002.92",100.00%,"2,002.92",38,1012
500,"1,998.96",100.00%,"1,998.96",38,1010
501,"1,995.00",100.00%,"1,995.00",38,1008
502,"1,991.04",100.00%,"1,991.04",38,1006
503,"1,987.08",100.00%,"1,987.08",38,1004
504,"1,983.13",100.00%,"1,983.13",38,1002
505,"1,979.17",100.00%,"1,979.17",38,1000
506,"1,973.33",100.00%,"1,973.33",37,1024
507,"1,971.41",100.00%,"1,971.41",37,1023
508,"1,967.55",100.00%,"1,967.55",37,1021
509,"1,963.70",100.00%,"1,963.70",37,1019
510,"1,959.84",100.00%,"1,959.84",37,1017
511,"1,955.99",100.00%,"1,955.99",37,1015
512,"1,952.14",100.00%,"1,952.14",37,1013
513,"1,948.28",100.00%,"1,948.28",37,1011
514,"1,944.43",100.00%,"1,944.43",37,1009
515,"1,940.57",100.00%,"1,940.57",37,1007
516,"1,936.72",100.00%,"1,936.72",37,1005
517,"1,932.86",100.00%,"1,932.86",37,1003
518,"1,929.01",100.00%,"1,929.01",37,1001
519,"1,925.16",100.00%,"1,925.16",37,999
520,"1,920.00",100.00%,"1,920.00",36,1024
521,"1,919.06",100.00%,"1,919.06",4094,9
522,"1,914.38",100.00%,"1,914.38",36,1021
523,"1,910.63",100.00%,"1,910.63",36,1019
524,"1,906.88",100.00%,"1,906.88",36,1017
525,"1,903.13",100.00%,"1,903.13",36,1015
526,"1,899.38",100.00%,"1,899.38",36,1013
527,"1,897.50",100.00%,"1,897.50",36,1012
528,"1,893.75",100.00%,"1,893.75",36,1010
529,"1,890.00",100.00%,"1,890.00",36,1008
530,"1,886.25",100.00%,"1,886.25",36,1006
531,"1,882.50",100.00%,"1,882.50",36,1004
532,"1,878.75",100.00%,"1,878.75",36,1002
533,"1,875.00",100.00%,"1,875.00",36,1000
534,"1,871.25",100.00%,"1,871.25",36,998
535,"1,866.67",100.00%,"1,866.67",35,1024
536,"1,864.84",100.00%,"1,864.84",35,1023
537,"1,861.20",100.00%,"1,861.20",35,1021
538,"1,857.55",100.00%,"1,857.55",35,1019
539,"1,853.91",100.00%,"1,853.91",35,1017
